epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,909.596,0.75213,1.18617,0.56592,0.90177,0.79441,0.79216,0.83778,0.62229,0.80782,0.75195,0.81095,0.51232,0.79216,1.20284,0.58588,0.91931,0.000775822,0.000775822,0.000775822
56,926.192,0.75812,1.18286,0.56302,0.90194,0.80502,0.78605,0.83606,0.63024,0.786,0.75121,0.79659,0.50094,0.76897,1.20524,0.57077,0.90437,0.000759318,0.000759318,0.000759318
57,942.501,0.75648,1.19703,0.57056,0.90536,0.80799,0.7731,0.83938,0.62843,0.79758,0.7352,0.79869,0.49645,0.78931,1.19652,0.57878,0.91542,0.000742815,0.000742815,0.000742815
58,959.685,0.75638,1.18911,0.56656,0.90544,0.78831,0.79103,0.83689,0.62638,0.77629,0.76958,0.80764,0.51204,0.76927,1.18175,0.58889,0.91173,0.000726312,0.000726312,0.000726312
59,975.712,0.757,1.18192,0.57088,0.91115,0.78587,0.789,0.83856,0.62945,0.79356,0.74136,0.80607,0.50134,0.74519,1.20738,0.58433,0.89988,0.000709809,0.000709809,0.000709809
60,992.788,0.76241,1.1926,0.58095,0.90672,0.78516,0.79812,0.84089,0.63261,0.77711,0.75112,0.80322,0.50126,0.75499,1.21642,0.58036,0.89577,0.000693305,0.000693305,0.000693305
61,1009.13,0.74877,1.17822,0.55802,0.90172,0.78874,0.77692,0.83429,0.62297,0.80227,0.73375,0.80055,0.50918,0.76924,1.23024,0.58807,0.89956,0.000676802,0.000676802,0.000676802
62,1026.1,0.75153,1.15313,0.5577,0.90132,0.77885,0.80352,0.83446,0.61167,0.78355,0.75916,0.80177,0.50227,0.79845,1.2658,0.60916,0.9145,0.000660299,0.000660299,0.000660299
63,1042.25,0.76115,1.18825,0.5656,0.90487,0.80965,0.77664,0.84244,0.62553,0.80853,0.72533,0.79699,0.50165,0.75719,1.2086,0.58541,0.91496,0.000643795,0.000643795,0.000643795
64,1059.14,0.75666,1.18748,0.56912,0.90342,0.77343,0.81136,0.84664,0.63156,0.77127,0.76303,0.80492,0.49856,0.74877,1.171,0.5993,0.9046,0.000627292,0.000627292,0.000627292
65,1074.28,0.74553,1.16208,0.56252,0.90086,0.82747,0.77236,0.84867,0.63664,0.81088,0.74442,0.81053,0.50919,0.77028,1.17276,0.57786,0.91391,0.000610789,0.000610789,0.000610789
66,1091.15,0.74775,1.17061,0.55227,0.90203,0.78316,0.78345,0.8363,0.62491,0.77188,0.75524,0.80356,0.5041,0.75226,1.16309,0.56572,0.90852,0.000594286,0.000594286,0.000594286
67,1107.46,0.73231,1.13327,0.5367,0.8947,0.80584,0.77489,0.84169,0.63113,0.79277,0.7426,0.8062,0.50966,0.76565,1.15741,0.56979,0.91469,0.000577782,0.000577782,0.000577782
68,1123.18,0.73392,1.13519,0.53757,0.89678,0.77883,0.8012,0.83186,0.62382,0.76764,0.77771,0.80327,0.50545,0.80594,1.17613,0.5915,0.94861,0.000561279,0.000561279,0.000561279
69,1139.84,0.73151,1.15599,0.54512,0.89674,0.80678,0.78037,0.83714,0.62581,0.79684,0.75545,0.81086,0.5062,0.79935,1.17561,0.60349,0.94484,0.000544776,0.000544776,0.000544776
70,1157.13,0.72918,1.14045,0.53868,0.89367,0.81058,0.79397,0.84098,0.62338,0.78486,0.76458,0.80581,0.50357,0.78333,1.1619,0.59045,0.92934,0.000528272,0.000528272,0.000528272
71,1174.17,0.74687,1.16852,0.55387,0.89918,0.81769,0.79114,0.84073,0.6234,0.79774,0.74911,0.7973,0.49973,0.80832,1.17244,0.61096,0.93868,0.000511769,0.000511769,0.000511769
